z,mean,scatter,weight
0.05,-0.003950885123466925,0.01,0.897283094682333
0.060000000000000005,-0.003496822646367007,0.01,0.8889163956075199
0.07,-0.0030427601692670876,0.01,0.8805496965327069
0.08000000000000002,-0.0025886976921671687,0.01,0.8721829974578938
0.09000000000000001,-0.00213463521506725,0.01,0.8638162983830807
0.1,-0.0016805727379673322,0.01,0.8554495993082677
0.11000000000000001,-0.0012265102608674128,0.01,0.8470829002334546
0.12000000000000001,-0.0007724477837674944,0.010241928286622565,0.8387162011586415
0.13,-0.0003183853066675759,0.011040077316135858,0.8303495020838285
0.14,0.000135677170432343,0.011838226345649152,0.8219828030090154
0.15000000000000002,0.0005897396475322621,0.012636375375162446,0.8136161039342024
0.16000000000000003,0.0010438021246321812,0.013434524404675739,0.8052494048593892
0.17000000000000004,0.0014978646017321004,0.014232673434189033,0.7968827057845762
0.18000000000000005,0.0019519270788320195,0.015030822463702326,0.7885160067097631
0.19,0.0024059895559319358,0.015828971493215615,0.78014930763495
0.2,0.002860052033031855,0.01662712052272891,0.771782608560137
0.21000000000000002,0.003314114510131774,0.017425269552242204,0.7634159094853239
0.22000000000000003,0.0037681769872316933,0.018223418581755496,0.7550492104105109
0.23000000000000004,0.004222239464331612,0.01902156761126879,0.7466825113356979
0.24000000000000005,0.004676301941431531,0.019819716640782085,0.7383158122608847
0.25000000000000006,0.005130364418531451,0.020617865670295377,0.7299491131860717
0.26000000000000006,0.005584426895631369,0.021416014699808673,0.7215824141112586
0.27,0.006331006314100767,0.02210745013419227,0.7143882476165325
0.28,0.0077415297652849,0.022556671034387916,0.7098554517968438
0.29000000000000004,0.009152053216469034,0.023005891934583564,0.7053226559771552
0.30000000000000004,0.010562576667653166,0.02345511283477921,0.7007898601574665
0.31000000000000005,0.011973100118837298,0.02390433373497486,0.6962570643377778
0.32000000000000006,0.013383623570021432,0.024353554635170506,0.6917242685180891
0.33,0.014794147021205557,0.024802775535366153,0.6871914726984005
0.34,0.014477777062378377,0.02474751351654694,0.6916031918577992
0.35000000000000003,0.01319209507918033,0.024409083262412257,0.7010355022541163
0.36000000000000004,0.011906413095982282,0.024070653008277574,0.7104678126504332
